"DATA";"ENFERMARIA_ADULTO_TOTAL";"ENFERMARIA_ADULTO_OCUPADOS";"ENFERMARIA_PEDIATRICA_TOTAL";"ENFERMARIA_PEDIATRICA_OCUPADOS";"UTI_ADULTO_TOTAL";"UTI_ADULTO_OCUPADOS";"UTI_PEDIATRICA_TOTAL";"UTI_PEDIATRICA_OCUPADOS";"ENFERMARIA_ADULTO_VAGOS";"ENFERMARIA_PEDIATRICA_VAGOS";"UTI_ADULTO_VAGOS";"UTI_PEDIATRICA_VAGOS";"ENFERMARIA_GERAL_TOTAL";"ENFERMARIA_GERAL_OCUPADOS";"ENFERMARIA_GERAL_VAGOS";"UTI_GERAL_TOTAL";"UTI_GERAL_OCUPADOS";"UTI_GERAL_VAGOS";"LEITOS_TOTAL";"LEITOS_OCUPADOS";"LEITOS_VAGOS";"ENFERMARIA_ADULTO_TX_OCUPACAO";"ENFERMARIA_PEDIATRICA_TX_OCUPACAO";"UTI_ADULTO_TX_OCUPACAO";"UTI_PEDIATRICA_TX_OCUPACAO";"ENFERMARIA_GERAL_TX_OCUPACAO";"UTI_GERAL_TX_OCUPACAO";"LEITOS_TX_OCUPACAO"
2020-06-05;1080;526;61;20;757;552;41;13;554;41;205;28;1141;546;595;798;565;233;1939;1111;828;0,487;0,3279;0,7292;0,3171;0,4785;0,708;0,573
2020-06-06;1099;549;61;15;759;526;41;11;550;46;233;30;1160;564;596;800;537;263;1960;1101;859;0,4995;0,2459;0,693;0,2683;0,4862;0,6712;0,5617
2020-06-08;1099;520;65;14;777;558;41;11;579;51;219;30;1164;534;630;818;569;249;1982;1103;879;0,4732;0,2154;0,7181;0,2683;0,4588;0,6956;0,5565
2020-06-10;1098;570;59;15;802;593;41;12;528;44;209;29;1157;585;572;843;605;238;2000;1190;810;0,5191;0,2542;0,7394;0,2927;0,5056;0,7177;0,595
2020-06-12;1098;570;59;15;802;593;41;12;528;44;209;29;1157;585;572;843;605;238;2000;1190;810;0,5191;0,2542;0,7394;0,2927;0,5056;0,7177;0,595
2020-06-15;1102;580;47;11;761;593;31;9;522;36;168;22;1149;591;558;792;602;190;1941;1193;748;0,5263;0,234;0,7792;0,2903;0,5144;0,7601;0,6146
2020-06-16;1177;624;59;16;825;610;41;12;553;43;215;29;1236;640;596;866;622;244;2102;1262;840;0,5302;0,2712;0,7394;0,2927;0,5178;0,7182;0,6004
2020-06-17;1177;633;59;18;827;638;41;11;544;41;189;30;1236;651;585;868;649;219;2104;1300;804;0,5378;0,3051;0,7715;0,2683;0,5267;0,7477;0,6179
2020-06-18;1189;615;59;13;827;638;41;13;574;46;189;28;1248;628;620;868;651;217;2116;1279;837;0,5172;0,2203;0,7715;0,3171;0,5032;0,75;0,6044
2020-06-19;1179;632;59;14;831;652;41;16;547;45;179;25;1238;646;592;872;668;204;2110;1314;796;0,536;0,2373;0,7846;0,3902;0,5218;0,7661;0,6227
2020-06-22;1228;627;59;13;855;656;41;9;601;46;199;32;1287;640;647;896;665;231;2183;1305;878;0,5106;0,2203;0,7673;0,2195;0,4973;0,7422;0,5978
2020-06-23;1228;665;59;16;857;660;41;11;563;43;197;30;1287;681;606;898;671;227;2185;1352;833;0,5415;0,2712;0,7701;0,2683;0,5291;0,7472;0,6188
2020-06-24;1219;673;59;17;857;674;41;11;546;42;183;30;1278;690;588;898;685;213;2176;1375;801;0,5521;0,2881;0,7865;0,2683;0,5399;0,7628;0,6319
2020-06-25;1221;681;59;17;857;678;40;12;540;42;179;28;1280;698;582;897;690;207;2177;1388;789;0,5577;0,2881;0,7911;0,3;0,5453;0,7692;0,6376
2020-06-26;1221;666;59;17;860;672;41;16;555;42;188;25;1280;683;597;901;688;213;2181;1371;810;0,5455;0,2881;0,7814;0,3902;0,5336;0,7636;0,6286
2020-06-27;1299;692;59;17;860;697;41;19;607;42;163;22;1358;709;649;901;716;185;2259;1425;834;0,5327;0,2881;0,8105;0,4634;0,5221;0,7947;0,6308
2020-06-28;1299;686;59;15;867;698;41;17;613;44;169;24;1358;701;657;908;715;193;2266;1416;850;0,5281;0,2542;0,8051;0,4146;0,5162;0,7874;0,6249
2020-06-29;1309;664;59;16;875;691;41;14;645;43;184;27;1368;680;688;916;705;211;2284;1385;899;0,5073;0,2712;0,7897;0,3415;0,4971;0,7697;0,6064
2020-06-30;1309;683;59;21;875;700;41;18;626;38;175;23;1368;704;664;916;718;198;2284;1422;862;0,5218;0,3559;0,8;0,439;0,5146;0,7838;0,6226
2020-07-01;1309;685;59;22;875;708;41;19;624;37;167;22;1368;707;661;916;727;189;2284;1434;850;0,5233;0,3729;0,8091;0,4634;0,5168;0,7937;0,6278
2020-07-02;1289;734;59;22;865;699;41;16;555;37;166;25;1348;756;592;906;715;191;2254;1471;783;0,5694;0,3729;0,8081;0,3902;0,5608;0,7892;0,6526
2020-07-03;1311;757;59;19;870;698;41;10;554;40;172;31;1370;776;594;911;708;203;2281;1484;797;0,5774;0,322;0,8023;0,2439;0,5664;0,7772;0,6506
2020-07-04;1311;745;59;23;872;715;41;17;566;36;157;24;1370;768;602;913;732;181;2283;1500;783;0,5683;0,3898;0,82;0,4146;0,5606;0,8018;0,657
2020-07-05;1311;722;59;20;872;705;41;20;589;39;167;21;1370;742;628;913;725;188;2283;1467;816;0,5507;0,339;0,8085;0,4878;0,5416;0,7941;0,6426
2020-07-06;1311;729;59;23;882;715;41;18;582;36;167;23;1370;752;618;923;733;190;2293;1485;808;0,5561;0,3898;0,8107;0,439;0,5489;0,7941;0,6476
2020-07-07;1345;729;59;21;897;717;41;19;616;38;180;22;1404;750;654;938;736;202;2342;1486;856;0,542;0,3559;0,7993;0,4634;0,5342;0,7846;0,6345
2020-07-08;1345;721;59;27;890;713;41;18;624;32;177;23;1404;748;656;931;731;200;2335;1479;856;0,5361;0,4576;0,8011;0,439;0,5328;0,7852;0,6334
2020-07-09;1353;751;59;29;908;730;41;21;602;30;178;20;1412;780;632;949;751;198;2361;1531;830;0,5551;0,4915;0,804;0,5122;0,5524;0,7914;0,6485
2020-07-10;1353;762;59;23;915;725;41;22;591;36;190;19;1412;785;627;956;747;209;2368;1532;836;0,5632;0,3898;0,7923;0,5366;0,5559;0,7814;0,647
2020-07-11;1353;761;59;21;926;733;40;20;592;38;193;20;1412;782;630;966;753;213;2378;1535;843;0,5625;0,3559;0,7916;0,5;0,5538;0,7795;0,6455
2020-07-12;1353;764;59;17;926;749;40;16;589;42;177;24;1412;781;631;966;765;201;2378;1546;832;0,5647;0,2881;0,8089;0,4;0,5531;0,7919;0,6501
2020-07-13;1353;748;59;24;926;732;40;18;605;35;194;22;1412;772;640;966;750;216;2378;1522;856;0,5528;0,4068;0,7905;0,45;0,5467;0,7764;0,64
2020-07-14;1393;765;59;26;943;730;40;17;628;33;213;23;1452;791;661;983;747;236;2435;1538;897;0,5492;0,4407;0,7741;0,425;0,5448;0,7599;0,6316
2020-07-15;1366;778;59;25;943;740;40;17;588;34;203;23;1425;803;622;983;757;226;2408;1560;848;0,5695;0,4237;0,7847;0,425;0,5635;0,7701;0,6478
2020-07-16;1366;760;59;24;943;753;40;16;606;35;190;24;1425;784;641;983;769;214;2408;1553;855;0,5564;0,4068;0,7985;0,4;0,5502;0,7823;0,6449
2020-07-17;1371;763;59;26;963;758;40;17;608;33;205;23;1430;789;641;1003;775;228;2433;1564;869;0,5565;0,4407;0,7871;0,425;0,5517;0,7727;0,6428
2020-07-18;1395;779;59;35;993;760;40;19;616;24;233;21;1454;814;640;1033;779;254;2487;1593;894;0,5584;0,5932;0,7654;0,475;0,5598;0,7541;0,6405
2020-07-19;1395;790;59;35;1009;768;40;19;605;24;241;21;1454;825;629;1049;787;262;2503;1612;891;0,5663;0,5932;0,7611;0,475;0,5674;0,7502;0,644
2020-07-20;1419;806;59;26;1013;761;41;18;613;33;252;23;1478;832;646;1054;779;275;2532;1611;921;0,568;0,4407;0,7512;0,439;0,5629;0,7391;0,6363
2020-07-21;1449;811;59;35;1053;750;41;21;638;24;303;20;1508;846;662;1094;771;323;2602;1617;985;0,5597;0,5932;0,7123;0,5122;0,561;0,7048;0,6214
2020-07-22;1489;835;59;27;1071;778;41;25;654;32;293;16;1548;862;686;1112;803;309;2660;1665;995;0,5608;0,4576;0,7264;0,6098;0,5568;0,7221;0,6259
2020-07-23;1482;837;59;28;1077;798;41;21;645;31;279;20;1541;865;676;1118;819;299;2659;1684;975;0,5648;0,4746;0,7409;0,5122;0,5613;0,7326;0,6333
2020-07-24;1482;839;59;33;1077;793;41;21;643;26;284;20;1541;872;669;1118;814;304;2659;1686;973;0,5661;0,5593;0,7363;0,5122;0,5659;0,7281;0,6341
2020-07-25;1482;831;59;34;1081;813;41;22;651;25;268;19;1541;865;676;1122;835;287;2663;1700;963;0,5607;0,5763;0,7521;0,5366;0,5613;0,7442;0,6384
2020-07-26;1481;840;59;34;1081;820;41;22;641;25;261;19;1540;874;666;1122;842;280;2662;1716;946;0,5672;0,5763;0,7586;0,5366;0,5675;0,7504;0,6446
2020-07-27;1481;846;59;39;1081;802;41;26;635;20;279;15;1540;885;655;1122;828;294;2662;1713;949;0,5712;0,661;0,7419;0,6341;0,5747;0,738;0,6435
2020-07-28;1493;823;59;37;1124;799;41;26;670;22;325;15;1552;860;692;1165;825;340;2717;1685;1032;0,5512;0,6271;0,7109;0,6341;0,5541;0,7082;0,6202
2020-07-29;1512;837;59;34;1133;826;41;23;675;25;307;18;1571;871;700;1174;849;325;2745;1720;1025;0,5536;0,5763;0,729;0,561;0,5544;0,7232;0,6266
2020-07-30;1508;822;59;22;1120;784;41;23;686;37;336;18;1567;844;723;1161;807;354;2728;1651;1077;0,5451;0,3729;0,7;0,561;0,5386;0,6951;0,6052
2020-07-31;1493;763;59;30;1130;817;41;22;730;29;313;19;1552;793;759;1171;839;332;2723;1632;1091;0,5111;0,5085;0,723;0,5366;0,511;0,7165;0,5993
2020-08-01;1504;768;59;27;1119;827;41;22;736;32;292;19;1563;795;768;1160;849;311;2723;1644;1079;0,5106;0,4576;0,7391;0,5366;0,5086;0,7319;0,6037
2020-08-02;1532;738;59;22;1124;835;41;22;794;37;289;19;1591;760;831;1165;857;308;2756;1617;1139;0,4817;0,3729;0,7429;0,5366;0,4777;0,7356;0,5867
2020-08-03;1527;711;59;24;1144;801;41;22;816;35;343;19;1586;735;851;1185;823;362;2771;1558;1213;0,4656;0,4068;0,7002;0,5366;0,4634;0,6945;0,5623
2020-08-04;1527;708;59;25;1144;763;41;19;819;34;381;22;1586;733;853;1185;782;403;2771;1515;1256;0,4637;0,4237;0,667;0,4634;0,4622;0,6599;0,5467
2020-08-05;1547;701;59;32;1144;768;41;22;846;27;376;19;1606;733;873;1185;790;395;2791;1523;1268;0,4531;0,5424;0,6713;0,5366;0,4564;0,6667;0,5457
2020-08-06;1547;695;59;29;1144;739;41;21;852;30;405;20;1606;724;882;1185;760;425;2791;1484;1307;0,4493;0,4915;0,646;0,5122;0,4508;0,6414;0,5317
2020-08-07;1547;691;59;33;1159;740;41;15;856;26;419;26;1606;724;882;1200;755;445;2806;1479;1327;0,4467;0,5593;0,6385;0,3659;0,4508;0,6292;0,5271
2020-08-08;1551;706;59;36;1159;724;41;12;845;23;435;29;1610;742;868;1200;736;464;2810;1478;1332;0,4552;0,6102;0,6247;0,2927;0,4609;0,6133;0,526
2020-08-09;1551;685;59;32;1159;689;41;19;866;27;470;22;1610;717;893;1200;708;492;2810;1425;1385;0,4417;0,5424;0,5945;0,4634;0,4453;0,59;0,5071
2020-08-10;1551;682;59;32;1169;725;41;20;869;27;444;21;1610;714;896;1210;745;465;2820;1459;1361;0,4397;0,5424;0,6202;0,4878;0,4435;0,6157;0,5174
2020-08-11;1551;719;59;30;1169;712;41;18;832;29;457;23;1610;749;861;1210;730;480;2820;1479;1341;0,4636;0,5085;0,6091;0,439;0,4652;0,6033;0,5245
2020-08-12;1564;702;59;30;1169;719;41;18;862;29;450;23;1623;732;891;1210;737;473;2833;1469;1364;0,4488;0,5085;0,6151;0,439;0,451;0,6091;0,5185
2020-08-13;1564;723;59;33;1169;745;41;17;841;26;424;24;1623;756;867;1210;762;448;2833;1518;1315;0,4623;0,5593;0,6373;0,4146;0,4658;0,6298;0,5358
2020-08-14;1564;726;59;33;1169;759;41;17;838;26;410;24;1623;759;864;1210;776;434;2833;1535;1298;0,4642;0,5593;0,6493;0,4146;0,4677;0,6413;0,5418
2020-08-15;1564;722;59;30;1169;740;41;15;842;29;429;26;1623;752;871;1210;755;455;2833;1507;1326;0,4616;0,5085;0,633;0,3659;0,4633;0,624;0,5319
2020-08-16;1564;725;59;35;1169;725;41;12;839;24;444;29;1623;760;863;1210;737;473;2833;1497;1336;0,4636;0,5932;0,6202;0,2927;0,4683;0,6091;0,5284
2020-08-17;1564;738;59;32;1169;694;41;18;826;27;475;23;1623;770;853;1210;712;498;2833;1482;1351;0,4719;0,5424;0,5937;0,439;0,4744;0,5884;0,5231
2020-08-18;1564;733;59;33;1169;709;41;18;831;26;460;23;1623;766;857;1210;727;483;2833;1493;1340;0,4687;0,5593;0,6065;0,439;0,472;0,6008;0,527
2020-08-19;1572;720;59;34;1179;706;41;17;852;25;473;24;1631;754;877;1220;723;497;2851;1477;1374;0,458;0,5763;0,5988;0,4146;0,4623;0,5926;0,5181
2020-08-20;1572;762;59;39;1179;708;41;16;810;20;471;25;1631;801;830;1220;724;496;2851;1525;1326;0,4847;0,661;0,6005;0,3902;0,4911;0,5934;0,5349
2020-08-21;1541;766;59;29;1180;704;41;18;775;30;476;23;1600;795;805;1221;722;499;2821;1517;1304;0,4971;0,4915;0,5966;0,439;0,4969;0,5913;0,5378
2020-08-22;1541;738;59;33;1182;681;41;15;803;26;501;26;1600;771;829;1223;696;527;2823;1467;1356;0,4789;0,5593;0,5761;0,3659;0,4819;0,5691;0,5197
2020-08-23;1541;730;59;31;1182;697;41;16;811;28;485;25;1600;761;839;1223;713;510;2823;1474;1349;0,4737;0,5254;0,5897;0,3902;0,4756;0,583;0,5221
2020-08-24;1574;718;59;27;1189;701;41;17;856;32;488;24;1633;745;888;1230;718;512;2863;1463;1400;0,4562;0,4576;0,5896;0,4146;0,4562;0,5837;0,511
2020-08-25;1592;711;59;28;1188;682;41;19;881;31;506;22;1651;739;912;1229;701;528;2880;1440;1440;0,4466;0,4746;0,5741;0,4634;0,4476;0,5704;0,5
2020-08-26;1592;710;59;28;1196;668;41;20;882;31;528;21;1651;738;913;1237;688;549;2888;1426;1462;0,446;0,4746;0,5585;0,4878;0,447;0,5562;0,4938
2020-08-27;1592;687;59;29;1196;668;41;16;905;30;528;25;1651;716;935;1237;684;553;2888;1400;1488;0,4315;0,4915;0,5585;0,3902;0,4337;0,553;0,4848
2020-08-28;1612;657;59;27;1196;685;41;23;955;32;511;18;1671;684;987;1237;708;529;2908;1392;1516;0,4076;0,4576;0,5727;0,561;0,4093;0,5724;0,4787
2020-08-29;1612;653;59;23;1196;699;41;19;959;36;497;22;1671;676;995;1237;718;519;2908;1394;1514;0,4051;0,3898;0,5844;0,4634;0,4045;0,5804;0,4794
2020-08-30;1612;653;59;22;1196;675;41;23;959;37;521;18;1671;675;996;1237;698;539;2908;1373;1535;0,4051;0,3729;0,5644;0,561;0,4039;0,5643;0,4721
2020-08-31;1612;663;59;21;1196;650;41;21;949;38;546;20;1671;684;987;1237;671;566;2908;1355;1553;0,4113;0,3559;0,5435;0,5122;0,4093;0,5424;0,466
2020-09-01;1596;645;57;27;1196;634;41;18;951;30;562;23;1653;672;981;1237;652;585;2890;1324;1566;0,4041;0,4737;0,5301;0,439;0,4065;0,5271;0,4581
2020-09-02;1558;629;37;15;1181;620;31;14;929;22;561;17;1595;644;951;1212;634;578;2807;1278;1529;0,4037;0,4054;0,525;0,4516;0,4038;0,5231;0,4553
2020-09-03;1428;570;37;12;1171;616;31;17;858;25;555;14;1465;582;883;1202;633;569;2667;1215;1452;0,3992;0,3243;0,526;0,5484;0,3973;0,5266;0,4556
2020-09-04;1428;531;37;12;1171;611;31;16;897;25;560;15;1465;543;922;1202;627;575;2667;1170;1497;0,3718;0,3243;0,5218;0,5161;0,3706;0,5216;0,4387
2020-09-05;1428;538;37;16;1171;599;31;16;890;21;572;15;1465;554;911;1202;615;587;2667;1169;1498;0,3768;0,4324;0,5115;0,5161;0,3782;0,5116;0,4383
2020-09-06;1428;532;37;15;1171;581;31;17;896;22;590;14;1465;547;918;1202;598;604;2667;1145;1522;0,3725;0,4054;0,4962;0,5484;0,3734;0,4975;0,4293
2020-09-07;1428;549;37;15;1171;571;31;15;879;22;600;16;1465;564;901;1202;586;616;2667;1150;1517;0,3845;0,4054;0,4876;0,4839;0,385;0,4875;0,4312
2020-09-08;1428;542;37;15;1171;554;31;14;886;22;617;17;1465;557;908;1202;568;634;2667;1125;1542;0,3796;0,4054;0,4731;0,4516;0,3802;0,4725;0,4218
2020-09-09;1428;543;37;13;1171;584;31;18;885;24;587;13;1465;556;909;1202;602;600;2667;1158;1509;0,3803;0,3514;0,4987;0,5806;0,3795;0,5008;0,4342
2020-09-10;1428;535;37;17;1171;575;31;18;893;20;596;13;1465;552;913;1202;593;609;2667;1145;1522;0,3746;0,4595;0,491;0,5806;0,3768;0,4933;0,4293
2020-09-11;1428;539;37;21;1171;573;31;20;889;16;598;11;1465;560;905;1202;593;609;2667;1153;1514;0,3775;0,5676;0,4893;0,6452;0,3823;0,4933;0,4323
2020-09-12;1428;545;37;22;1171;588;31;20;883;15;583;11;1465;567;898;1202;608;594;2667;1175;1492;0,3817;0,5946;0,5021;0,6452;0,387;0,5058;0,4406
2020-09-13;1428;512;37;22;1176;570;31;20;916;15;606;11;1465;534;931;1207;590;617;2672;1124;1548;0,3585;0,5946;0,4847;0,6452;0,3645;0,4888;0,4207
2020-09-14;1428;490;37;25;1181;579;31;15;938;12;602;16;1465;515;950;1212;594;618;2677;1109;1568;0,3431;0,6757;0,4903;0,4839;0,3515;0,4901;0,4143
2020-09-15;1428;489;37;17;1181;560;31;26;939;20;621;5;1465;506;959;1212;586;626;2677;1092;1585;0,3424;0,4595;0,4742;0,8387;0,3454;0,4835;0,4079
2020-09-16;1368;498;37;20;1102;561;31;20;870;17;541;11;1405;518;887;1133;581;552;2538;1099;1439;0,364;0,5405;0,5091;0,6452;0,3687;0,5128;0,433
2020-09-17;1263;520;39;23;1062;545;31;16;743;16;517;15;1302;543;759;1093;561;532;2395;1104;1291;0,4117;0,5897;0,5132;0,5161;0,4171;0,5133;0,461
2020-09-18;1243;493;39;20;1042;532;31;13;750;19;510;18;1282;513;769;1073;545;528;2355;1058;1297;0,3966;0,5128;0,5106;0,4194;0,4002;0,5079;0,4493
2020-09-19;1243;484;39;19;1042;497;31;12;759;20;545;19;1282;503;779;1073;509;564;2355;1012;1343;0,3894;0,4872;0,477;0,3871;0,3924;0,4744;0,4297
2020-09-20;1243;510;39;18;1042;502;31;13;733;21;540;18;1282;528;754;1073;515;558;2355;1043;1312;0,4103;0,4615;0,4818;0,4194;0,4119;0,48;0,4429
2020-09-21;1243;488;39;19;1042;508;31;13;755;20;534;18;1282;507;775;1073;521;552;2355;1028;1327;0,3926;0,4872;0,4875;0,4194;0,3955;0,4856;0,4365
2020-09-22;1228;496;39;18;1042;505;31;15;732;21;537;16;1267;514;753;1073;520;553;2340;1034;1306;0,4039;0,4615;0,4846;0,4839;0,4057;0,4846;0,4419
2020-09-23;1198;471;39;20;1032;509;31;14;727;19;523;17;1237;491;746;1063;523;540;2300;1014;1286;0,3932;0,5128;0,4932;0,4516;0,3969;0,492;0,4409
2020-09-24;1198;482;39;24;1032;500;31;14;716;15;532;17;1237;506;731;1063;514;549;2300;1020;1280;0,4023;0,6154;0,4845;0,4516;0,4091;0,4835;0,4435
2020-09-25;1198;479;39;20;1022;522;31;13;719;19;500;18;1237;499;738;1053;535;518;2290;1034;1256;0,3998;0,5128;0,5108;0,4194;0,4034;0,5081;0,4515
2020-09-26;1198;470;39;23;1027;523;31;13;728;16;504;18;1237;493;744;1058;536;522;2295;1029;1266;0,3923;0,5897;0,5093;0,4194;0,3985;0,5066;0,4484
2020-09-27;1198;475;39;19;1027;507;31;18;723;20;520;13;1237;494;743;1058;525;533;2295;1019;1276;0,3965;0,4872;0,4937;0,5806;0,3994;0,4962;0,444
2020-09-28;1208;477;39;21;1032;511;31;17;731;18;521;14;1247;498;749;1063;528;535;2310;1026;1284;0,3949;0,5385;0,4952;0,5484;0,3994;0,4967;0,4442
